작성자,작성일자,내용,태그,리트윗수,마음수,조회수
듀덕후,2025-08-30 5:17,가나디 팝업스토어 포토존에서 찍은 사진들 인스타 반응 폭발적,#가나디팝업,3,69,3650
가나디러버,2025-08-28 17:55,가나디 보면 자동으로 '듀아아아' 나오는 건 나뿐인가 ㅋㅋ,#듀아아아 #가나디밈,13,71,3518
디자인평론가,2025-08-28 12:00,스파오 가나디 콜라보 후드 입고 있는데 사람들 시선집중 기분 좋아,#CU콜라보,24,25,3849
소비자리뷰,2025-08-28 0:24,지하철에서 가나디 폰케이스 쓰는 사람 발견하고 동질감 느꼈어,#가나디일상,329,1336,41681
팝업투어,2025-08-27 12:25,스파오 콜라보 의류 퀄리티 괜찮네 가격대비 만족스러워,#CU콜라보,8,61,4505
토끼덕후,2025-08-26 22:04,듀듀듀 이 세상 모든 귀여움을 가나디가 독차지했어,#듀아아아,280,717,33890
문화관찰자,2025-08-22 15:07,가나디 팝업 음향까지 신경쓴 게 느껴져서 몰입감 최고였어,#가나디팝업,31,19,2439
굿즈중독자,2025-08-20 20:52,가나디 팬아트 올렸더니 작가님이 좋아요 눌러주셨어 감격 ㅠㅠ,#가나디팬아트,368,2245,24534
일상트윗,2025-08-19 13:44,가나디 챌린지 동참! 다들 창의적이어서 보는 재미가 있어,#가나디팬아트 #굿즈인증,14,131,523
문화관찰자,2025-08-15 17:47,스티커 노트북에 붙였더니 공강 시간에 보는 재미가 쏠쏠,#가나디일상 #룸투어,21,42,4022
캐릭터분석가,2025-08-13 2:35,외국 친구한테 가나디 소개했더니 완전 빠져버렸어 한류 아닌가?,#가나디팬아트,2,115,4292
무해덕후,2025-07-31 7:54,CU 가나디 바나나우유 뒷뚜껑 키링 대박... 이거 완전 소장각이야! 🥛,#CU콜라보 #스파오가나디,29,23,4991
캐릭터매니아,2025-07-26 12:38,스파오 가나디 콜라보 후드 입고 있는데 사람들 시선집중 기분 좋아,#CU콜라보 #스파오가나디,11,130,457
가나디러버,2025-07-22 7:09,더현대서울 가나디 쿠킹클래스 팝업 대박이었어! 체험존 완전 굿 ✨,#가나디팝업 #더현대서울,46,48,617
굿즈리뷰어,2025-07-20 18:41,팬 사이에서 가나디 굿즈 교환하는 문화 생긴 것 같아 훈훈해,#가나디팬아트,39,199,4481
굿즈중독자,2025-07-07 16:14,가나디 망고드링크 드디어 출시! 자몽이랑 같이 사서 마셔봐야지,#CU콜라보,34,100,1163
수집광,2025-07-06 21:41,더현대서울 가나디 쿠킹클래스 팝업 대박이었어! 체험존 완전 굿 ✨,#가나디팝업,26,11,2490
굿즈중독자,2025-07-04 4:13,가나디 챌린지 동참! 다들 창의적이어서 보는 재미가 있어,#가나디팬아트 #굿즈인증,1,166,4138
굿즈수집가,2025-06-30 19:51,가나디 보고 있으면 마음이 포근포근해져... 듀아아 💤,#듀아아아,11,66,4388
디자인평론가,2025-06-25 21:06,듀~ 가나디만큼 무해하고 귀여운 캐릭터가 또 있을까,#듀아아아,19,123,1977
굿즈평가단,2025-06-25 6:46,가나디 표정 하나하나가 밈이 되는 마법... 듀아아아,#듀아아아 #가나디밈,27,111,2409
문화관찰자,2025-06-20 13:55,스파오 콜라보 의류 퀄리티 괜찮네 가격대비 만족스러워,#CU콜라보 #스파오가나디,0,135,1920
굿즈리뷰어,2025-06-20 6:41,가나디 팝업 웨이팅 3시간 했지만 들어가니까 완전 별세계였어,#가나디팝업 #더현대서울,27,38,3650
소비자리뷰,2025-06-14 22:10,가나디 바나나우유 맛도 좋고 패키지도 귀여워서 일석이조,#CU콜라보 #스파오가나디,36,94,4003
팝업스토리,2025-06-12 10:20,더현대서울 가나디 쿠킹클래스 팝업 대박이었어! 체험존 완전 굿 ✨,#가나디팝업,48,190,1300
굿즈중독자,2025-06-11 12:38,CU 가서 가나디 콜라보 제품만 찾게 되는 건 나뿐인가 ㅋㅋ,#CU콜라보,34,163,4184
굿즈중독자,2025-06-10 23:06,팝업 MD 포토프레임 샀는데 SNS에 올렸더니 다들 어디서 샀냐고 난리,#가나디팝업,0,168,1081
굿즈중독자,2025-06-10 16:36,가나디 굿즈로 룸투어 찍었더니 반응 완전 뜨거워 인증샷 맛집,#가나디일상 #룸투어,27,35,2535
굿즈리뷰어,2025-06-08 0:25,CU 알바생이 가나디 팬이라며 신상품 정보 알려줬어 고마워~,#CU콜라보,4,79,1877
토끼사랑,2025-06-05 6:46,듀듀듀 이 세상 모든 귀여움을 가나디가 독차지했어,#듀아아아,42,31,1967
트렌드워처,2025-06-04 4:30,가나디 키링 가방에 달고 다니는데 어딜 가나 눈에 띄네,#가나디일상 #룸투어,47,126,2096
문화관찰자,2025-06-03 22:22,오늘도 가나디 덕분에 힐링 듀~ 🌸,#듀아아아,22,176,727
토끼사랑,2025-06-01 20:50,듀듀듀 이 세상 모든 귀여움을 가나디가 독차지했어,#듀아아아 #가나디밈,31,198,678
캐릭터분석가,2025-05-28 18:26,엄마가 새벽부터 웨이팅 해주신 덕분에 가나디 굿즈 겟! 감동 ㅠㅠ,#가나디팝업 #더현대서울,2,72,2218
힐링캐릭터,2025-05-28 10:40,오늘도 가나디 덕분에 힐링 듀~ 🌸,#듀아아아,32,191,4138
무해덕후,2025-05-27 7:02,팝업스토어 직원분이 가나디 목소리로 인사해주셔서 귀여웠어 ㅋㅋ,#가나디팝업 #더현대서울,30,98,3483
굿즈평가단,2025-05-23 5:24,팝업스토어 직원분이 가나디 목소리로 인사해주셔서 귀여웠어 ㅋㅋ,#가나디팝업 #더현대서울,440,1119,32788
캐릭터매니아,2025-05-23 1:04,가나디 체험존 게임 너무 재밌었어 아이디어 정말 참신함,#가나디팝업 #더현대서울,22,141,2667
팝업헌터,2025-05-20 20:28,듀듀 오늘 하루도 가나디 보면서 행복하게 보내자~,#듀아아아 #가나디밈,30,156,677
굿즈중독자,2025-05-17 18:33,가나디 팝업 웨이팅 3시간 했지만 들어가니까 완전 별세계였어,#가나디팝업 #더현대서울,20,43,3094
토끼사랑,2025-05-16 18:46,CU 가나디 바나나우유 뒷뚜껑 키링 대박... 이거 완전 소장각이야! 🥛,#CU콜라보,42,77,1835
굿즈중독자,2025-05-16 18:27,카톡 이모티콘으로 가나디만 쓰는데 친구들도 따라서 쓰기 시작함,#가나디일상 #룸투어,19,67,2748
무해덕후,2025-05-11 20:54,스파오 콜라보 의류 퀄리티 괜찮네 가격대비 만족스러워,#CU콜라보 #스파오가나디,17,163,2130
굿즈수집가,2025-05-07 22:06,더현대서울 가나디 쿠킹클래스 팝업 대박이었어! 체험존 완전 굿 ✨,#가나디팝업,404,1328,26092
캐릭터매니아,2025-04-29 13:12,카카오페이 가나디 송금봉투 처음 써봤는데 벌써 감성 터짐 💰,#CU콜라보 #스파오가나디,31,183,4926
듀덕후,2025-04-09 17:17,카카오페이 가나디 송금봉투 처음 써봤는데 벌써 감성 터짐 💰,#CU콜라보 #스파오가나디,8,72,1170
토끼러버_2024,2025-04-06 17:23,성수 마플샵 성냥팔이 가나디 테마 너무 감성적이었어 크리스마스 무드 완벽,#가나디팝업,16,137,3409
가나디러버,2025-04-06 11:37,듀듀듀 이 세상 모든 귀여움을 가나디가 독차지했어,#듀아아아 #가나디밈,39,163,4991
듀덕후,2025-04-03 19:54,가나디 팝업스토어 포토존에서 찍은 사진들 인스타 반응 폭발적,#가나디팝업,41,76,481
수집광,2025-03-30 8:34,가나디 표정 하나하나가 밈이 되는 마법... 듀아아아,#듀아아아,434,1861,31717
가나디러버,2025-03-30 1:41,가나디 병뚜껑 굿즈 아이디어 진짜 참신해 이런 걸 어떻게 생각해내지,#CU콜라보 #스파오가나디,8,170,1215
