작성자,작성일자,내용,태그,리트윗수,마음수,조회수
벽력일섬,2025-08-22 10:07,유포테이블 카페 콜라보 메뉴 예쁘고 맛있었다! 특전 아크릴도 겟.,#귀칼굿즈 #무한열차,77,421,1769
이구로오바나이,2025-08-18 21:55,결말이 너무 급하게 끝난 것 같아서 아쉬움. 외전 좀 더 내주세요 작가님.,#귀칼스토리 #원작만화 #세계관,38,57,3370
기유는사랑입니다,2025-08-09 21:26,렌고쿠 쿄쥬로... 당신은 빛 그 자체... 무한열차 다시 보고 오열 중 ㅠㅠ,#최애캐 #렌고쿠 #젠이츠,74,118,9484
무한열차N차관람,2025-06-26 19:40,애니플렉스에서 나온 시노부 1/8 스케일 피규어 퀄리티 대박임.,#귀칼굿즈 #무한열차,83,195,7198
오니도서사있다,2025-06-01 18:18,아직도 탄지로 귀걸이 욱일기라고 모르는 사람 많더라. 논란은 알고 소비해야지.,#욱일기 #우익논란,42,107,8925
음주님,2025-05-28 11:36,애니플렉스에서 나온 시노부 1/8 스케일 피규어 퀄리티 대박임.,#귀칼굿즈 #무한열차 #유포카페,581,2573,35346
유포터블의노예,2025-05-09 11:15,가끔 일상 파트 너무 질질 끄는 감이 없지 않아... 전투씬만 보고 싶을 때도 있음.,#유포터블 #작화 #전투씬,357,2093,178466
물의호흡계승자,2025-05-06 18:11,귀칼 오케스트라 콘서트 예매 성공! 라이브로 OST 들을 생각에 두근거림.,#귀칼굿즈 #무한열차,31,475,9567
코쵸우시노부,2025-04-26 12:46,도공마을편 작화도 좋았지만 개인적으론 유곽편의 화려함이 최고였던 듯.,#유포터블 #작화 #전투씬,33,416,5587
염주님,2025-04-11 5:54,"탄지로 귀걸이 문양, 욱일기 연상돼서 진짜 불편함. 수정됐다지만 원작 생각하면 찝찝해.",#욱일기 #우익논란 #귀멸의칼날논란,88,430,5342
염주님,2025-03-24 7:50,원작 만화 최종국면 편 전개 미쳤다... 숨 참고 보는 중. 애니는 언제 나오려나.,#귀칼스토리 #원작만화,98,397,4117
이구로오바나이,2025-03-22 14:35,귀칼은 OST도 완벽함. 전투씬에 LiSA 노래 깔리면 심장이 뛴다.,#유포터블 #작화 #전투씬,86,46,9685
하주님,2025-03-11 13:06,"작품과 논란은 별개로 봐야 한다는 의견도 있지만, 욱일기는 선 넘었지.",#욱일기 #우익논란,1496,2766,34376
젠이츠사랑해,2025-01-25 5:33,원작 만화 최종국면 편 전개 미쳤다... 숨 참고 보는 중. 애니는 언제 나오려나.,#귀칼스토리 #원작만화 #세계관,60,19,7679
탄카나존버,2025-01-18 17:23,아직도 탄지로 귀걸이 욱일기라고 모르는 사람 많더라. 논란은 알고 소비해야지.,#욱일기 #우익논란,12,421,160
토미오카기유,2025-01-14 17:37,아직도 탄지로 귀걸이 욱일기라고 모르는 사람 많더라. 논란은 알고 소비해야지.,#욱일기 #우익논란 #귀멸의칼날논란,793,2021,57054
탄카나존버,2025-01-14 6:14,이번에 나온 제일복권(이치방쿠지) 라인업 미쳤다... 지갑 텅텅 빌 예정.,#귀칼굿즈 #무한열차 #유포카페,35,69,9249
귀칼과몰입오타쿠,2025-01-01 9:10,캐릭터 디자인이 욱일기 말고도 다른 문양 표절 논란도 있지 않았나?,#욱일기 #우익논란 #귀멸의칼날논란,68,30,4496
탄지로오시,2024-11-28 19:30,캐릭터 디자인이 욱일기 말고도 다른 문양 표절 논란도 있지 않았나?,#욱일기 #우익논란,66,159,6941
음주님,2024-11-09 21:42,가끔 정지컷이나 슬로우모션을 너무 남발하는 경향이 있는 것 같아.,#유포터블 #작화 #전투씬,968,5994,118013
탄카나존버,2024-11-02 20:32,우익 논란 있는 작품이라 솔직히 볼 때마다 마음 한구석이 불편함. 작화가 아까울 정도.,#욱일기 #우익논란 #귀멸의칼날논란,83,310,6627
굿즈수집가,2024-10-28 0:54,솔직히 최애는 시노부. 독 쓰는 충주라니 설정부터 완벽.,#최애캐 #렌고쿠,44,453,4587
무한열차N차관람,2024-10-23 10:14,다이쇼 시대 배경 자체에서 오는 거부감이 있음. 미화 논란도 있고.,#욱일기 #우익논란,96,421,8388
오니도서사있다,2024-10-09 18:19,재밌게 보다가도 욱일기 논란 생각나면 갑자기 기분 식음. 어쩔 수 없음.,#욱일기 #우익논란,1473,3028,45217
탄지로오시,2024-10-09 8:50,여성 캐릭터를 소비하는 방식이 너무 낡았음. 싸우는 여캐는 좋은데 결국 남자한테 기대는 서사.,#욱일기 #우익논란 #귀멸의칼날논란,1108,3817,39533
수주님,2024-10-05 17:49,유포터블 작화는 진짜 전설이다. 환락의 거리 편 전투씬은 극장판인 줄 알았음.,#유포터블 #작화 #전투씬,17,187,1280
기유는사랑입니다,2024-09-28 10:24,"탄지로 귀걸이 문양, 욱일기 연상돼서 진짜 불편함. 수정됐다지만 원작 생각하면 찝찝해.",#욱일기 #우익논란,37,77,4722
젠이츠사랑해,2024-09-27 11:43,무한열차 4DX로 보니까 진짜 내가 기차에 탄 것 같았음. N차 관람 필수.,#귀칼굿즈 #무한열차,13,183,5896
탄지로오시,2024-09-14 20:20,우익 논란 있는 작품이라 솔직히 볼 때마다 마음 한구석이 불편함. 작화가 아까울 정도.,#욱일기 #우익논란 #귀멸의칼날논란,76,329,3065
벽력일섬,2024-09-13 20:27,"귀칼 특유의 개그씬, 애니로 보니까 더 웃기고 재밌음 ㅋㅋ",#유포터블 #작화 #전투씬,31,241,7611
염주님,2024-08-19 13:43,3D 연출이 가끔 너무 튀어서 2D 작화랑 따로 노는 느낌이라 거슬림.,#유포터블 #작화,36,192,7788
시노부짱팬,2024-08-11 17:55,우익 논란 있는 작품이라 솔직히 볼 때마다 마음 한구석이 불편함. 작화가 아까울 정도.,#욱일기 #우익논란 #귀멸의칼날논란,7,311,7035
우즈이텐겐,2024-05-23 16:38,전체적으로 스토리가 너무 왕도적이라 예측 가능하다는 평도 이해는 감.,#귀칼스토리 #원작만화,5,141,4836
연주님,2024-05-14 5:01,"콜라보 굿즈, 제발 랜덤 상품 좀 그만 냈으면 좋겠음. 최애 뽑기 너무 힘들어.",#귀칼굿즈 #무한열차,45,53,2931
원작정주행,2024-04-24 23:53,애니플렉스에서 나온 시노부 1/8 스케일 피규어 퀄리티 대박임.,#귀칼굿즈 #무한열차,41,95,6315
코쵸우시노부,2024-04-19 17:49,이번에 나온 제일복권(이치방쿠지) 라인업 미쳤다... 지갑 텅텅 빌 예정.,#귀칼굿즈 #무한열차 #유포카페,78,444,1689
